,epoch,train_loss,val_loss
0,1,17040.38745689392,0.0
1,2,6497.846886634827,0.0
2,3,6628.787457942963,0.0
3,4,5885.447079181671,0.0
4,5,4897.995667457581,0.0
5,6,3963.132161617279,0.0
6,7,3795.4597396850586,0.0
7,8,3754.1041378974915,0.0
8,9,3741.0180130004883,0.0
9,10,3864.931266784668,612.7823338508606
10,11,4579.4341588020325,0.0
11,12,3946.655191898346,0.0
12,13,4134.037503242493,0.0
13,14,4334.9940457344055,0.0
14,15,3857.141327381134,0.0
15,16,3971.8155584335327,0.0
16,17,3808.0637378692627,0.0
17,18,3813.527301311493,0.0
18,19,3874.311155319214,0.0
19,20,3834.7354941368103,592.2341480255127
20,21,3849.8115005493164,0.0
21,22,3807.6971702575684,0.0
22,23,3816.009394645691,0.0
23,24,3797.7843589782715,0.0
24,25,3839.4957404136658,0.0
25,26,3802.0504755973816,0.0
26,27,3831.4730200767517,0.0
27,28,3819.799008369446,0.0
28,29,3815.2745509147644,0.0
29,30,3848.5479736328125,602.2218389511108
30,31,3778.3533539772034,0.0
31,32,3783.6137409210205,0.0
32,33,3789.6998357772827,0.0
33,34,3795.8793625831604,0.0
34,35,3771.5874314308167,0.0
35,36,3792.8992671966553,0.0
36,37,3827.2438435554504,0.0
37,38,3781.470048427582,0.0
38,39,3814.8555331230164,0.0
39,40,3792.176456928253,593.5671648979187
40,41,3760.4643659591675,0.0
41,42,3791.4013590812683,0.0
42,43,3789.4239888191223,0.0
43,44,3781.785792350769,0.0
44,45,3784.3618607521057,0.0
45,46,3804.6642899513245,0.0
46,47,3803.676137447357,0.0
47,48,3778.9243273735046,0.0
48,49,3781.6868648529053,0.0
49,50,3847.6036219596863,619.5840411186218
50,51,3872.5967893600464,0.0
